,Protein.IDs,theo.peptides,Mol..weight..kDa.,REF_1,REF_3,REF_4,Temp36_1,Temp36_2,Temp33_1,Osmo0.4_1,Osmo0.4_2,Osmo0.4_3,Osmo0.2_1_1,Osmo0.2_1_2,Osmo0.2_2,Osmo0.6_1,Osmo0.6_2,Osmo0.6_3,EtOH20_1,EtOH60_1,EtOH20_2,EtOH20_3,EtOH60_2,EtOH40_1,EtOH40_2,EtOH40_3,EtOH60_3,Temp33_4,Temp33_5,Temp38_1,Temp38_2,Temp38_3,Temp36_5,Osmo0.8_1,Osmo1.3_1,Osmo1.3_2,Osmo1.3_3,Osmo1.4_1,Osmo0.8_2,Osmo0.8_3,Osmo1.0_2,Osmo1.0_1,Osmo1.2_2,Osmo1.2_2.1,Osmo1.2_3
3,O13297,23.9998923747511,61.849,1.69119768670822e-05,2.0644534608389e-05,3.46072550392881e-06,2.60924275828738e-05,8.44664510515587e-05,9.63530465742018e-06,9.84551095500908e-06,3.72042036566125e-06,5.97774649848901e-06,2.48527689976947e-05,3.20078283230556e-05,5.39358936159922e-06,1.82776628434051e-05,8.36614824491497e-06,1.21231552607477e-05,2.4292835532438e-05,1.67235950884111e-05,1.89659820746113e-05,1.21426913625121e-05,2.99015621506015e-05,2.36871089230217e-05,2.27415599147421e-05,1.60346017536068e-05,2.06585516533716e-05,2.44630074011088e-05,1.27772068862746e-05,1.10878494207881e-05,1.49120437940008e-05,8.36777624150477e-06,1.29089216748039e-05,1.55953268792307e-05,1.09583933170255e-05,1.26428874189451e-05,3.11613545750744e-05,1.25808977874865e-05,1.52149631927431e-05,4.37772655448374e-05,1.4133343014018e-05,2.11643064771925e-05,3.12191444090389e-05,8.05617754810226e-06,1.02912159115782e-05
4,O13516,12.0322331383155,22.443,5.32895201887112e-05,6.23339535386966e-05,0.000109590078106946,6.64870893490786e-05,6.14199201969724e-05,6.70395616750491e-05,5.36144879170646e-05,0.0001113871086169,7.70941966517088e-05,6.49840280510292e-05,3.57181354154749e-05,9.7264223250199e-05,6.08956466877253e-05,9.12869423634862e-05,0.00010012974563128,7.96311979634662e-05,6.89274158204011e-05,0.000116782417163248,0.000100133165513799,5.41616200988118e-05,6.22311129163049e-05,7.96254485327299e-05,7.33696649768186e-05,6.91864025387096e-05,9.8945640341915e-05,8.37080837841358e-05,4.89900455619854e-05,6.32737811457945e-05,8.69411246677374e-05,7.41344660738729e-05,0.000265510725106156,0.000142883181020414,0.000110331753575671,0.000116586067104598,0.000184329976713735,6.39916283410472e-05,0.000213342996026928,4.7441175846042e-05,0.000210617116392817,0.000160653727607438,5.97618699512194e-05,5.09562698879701e-05
5,O13585,21.0001606425703,102.58,3.67127325756891e-06,3.15452694334865e-06,3.29004574185633e-06,0,8.41364041072345e-06,3.46939080742148e-06,5.11653703991555e-06,0,5.31911693600019e-06,2.30909838355184e-06,0,4.04175157943799e-06,0,8.77898119210941e-06,3.6492899077582e-06,1.97891793329025e-06,1.25908564734452e-05,4.5335542278828e-06,0,9.17776746732128e-06,1.27076877926999e-05,6.50802053098683e-06,9.48596766715094e-06,7.1928053455724e-06,0,0,6.85806080844311e-06,1.23523351580341e-05,4.31450871976329e-06,2.61728769002915e-06,8.44145211430017e-06,8.19591843925916e-06,0,0,8.45708027769716e-06,3.23475171455892e-05,1.30500923125278e-05,0,1.97143081499085e-05,0,9.61287481696777e-05,9.00162942497006e-05
6,O14455,6.00024616394519,11.135,0.00142047859056525,0.000956262395319105,0.00148600528431732,0.000816588205099012,0.000878169838111702,0.000904827651371417,0.00123075570416956,0.00121306107007694,0.00145891571764041,0.00137070542318699,0.00125820071827833,0.00164046260775944,0.00136672975586871,0.0010279338421405,0.00160436791759963,0.00109593837743395,0.00146212960316631,0.00125689023205481,0.00160400469799493,0.00128947374049301,0.00130420227595703,0.00116491437845599,0.00160724771353182,0.00162568971161086,0.0011168965831872,0.00128104518691209,0.00104118946968984,0.000975065030899354,0.00147719146167653,0.0014382155323523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,O75012,5.99993201210185,10.69,5.44178230284541e-06,9.10439961267134e-06,1.12050786289691e-05,5.99001843400655e-06,4.70383232210505e-06,6.28342153714588e-06,4.43088481490933e-06,8.14948291928271e-06,8.74414894962007e-06,1.76233585763466e-06,4.76442915810868e-06,6.62415313582306e-06,8.76035711808116e-06,7.52347159786671e-06,7.38680850062396e-06,6.63239985263005e-06,7.94953574557336e-06,4.0016409329349e-06,1.03092255038702e-05,1.01709075084586e-05,1.46498244725456e-05,1.64904982335289e-05,9.89275632747579e-06,1.94968673134025e-05,9.22564159760856e-06,4.19764864135201e-06,1.61109831704982e-06,5.42378783563939e-06,5.56960853830718e-06,1.00696032017075e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,P00044,5,12.182,0.000927348839099775,0.000763678936789672,0.00108323894079244,0.000747765859699812,0.000712304099421706,0.000669252802899035,0.000955448620917291,0.00105121616923953,0.00101910973569507,0.000986636882670134,0.000938630582739705,0.00112035981617571,0.000912521356446836,0.00140019532427133,0.00115467081897338,0.000938775753188559,0.00119454830341855,0.00124546862937468,0.00108102703163947,0.00175280215717592,0.00165723438968683,0.00235058678343158,0.00173635800137244,0.00117900927732081,0.000828542656091292,0.000868038029312334,0.000440304094714223,0.00110218900745033,0.000658443271874717,0.000814910092241094,0.00103264276767792,0.000794747150519719,0.000809397817907843,0.000638682323905331,0.000393240151106852,0.000434114303448967,0.00100885523404184,0.000809963974853671,0.00144718578299057,0.000724436742211732,0.00031977951336516,0.000283519385013346
13,P00045,6,12.532,2.07063396990598e-06,1.47831397731715e-05,8.69482257214488e-06,2.65218029226026e-05,2.45455392944737e-05,1.53155282681657e-05,7.58921128684858e-06,2.41845028726447e-05,2.48227010574043e-05,6.79853396992654e-06,1.05162403943957e-05,8.74205588182239e-06,3.87390498081619e-06,4.94765134831833e-06,6.03790659703885e-06,2.00629896018136e-06,5.80423178651839e-05,0,3.60559831855268e-06,5.36251488464493e-05,7.00320155386154e-06,6.87204495697214e-06,2.33117576362692e-06,5.27886711162474e-05,1.46170400884309e-05,2.8060899183941e-05,1.30596423151766e-05,4.00253051788844e-05,2.38428449032935e-05,2.28799138529229e-05,5.50427935031263e-06,4.56603183643811e-06,3.0002415723409e-07,0,2.28556175140885e-05,0,4.18922090499818e-06,0,4.81695456529586e-06,0,0,0
16,P00175,25.9994115339349,65.539,0.00115559647147554,0.00143743867923781,0.00152067720330256,0.00111748763014768,0.00174391569612364,0.000840965258357291,0.0020321725062278,0.00178617329840387,0.00156284017709871,0.00146000653267435,0.00114856819080776,0.00184405965860541,0.0016146339847763,0.00268978835873141,0.00171129293473623,0.000397011929639682,0.000654877518385989,0.00046294188003899,0.000170130723311259,0.000765439135611796,0.00061279890548568,0.00161479017880545,0.00066264454586894,0.00073556282515254,0.0017503712594036,0.00206496205617982,0.000276539547637137,0.000694059301346847,0.00024498930641575,0.00159494479217023,0.00287343363308959,0.00138439852026174,0.000962390555734088,0.000867146194474579,0.000431651111832655,0.00116196279855089,0.0027311174733421,0.000815265782625653,0.00301989077980378,0.00155011713679749,0.000498502267995302,0.000692003774700385
18,P00331,13.9925373134328,36.731,0.00680130376089274,0.00951507068023168,0.0105580581392199,0.0157077090091831,0.0119540024219492,0.0112873586562546,0.00714279366384529,0.00722634898708235,0.00835739685710143,0.00581218297616082,0.00924655442732191,0.00688956829433744,0.00715254021309743,0.00662738079655137,0.00749484691514325,0.00936515189293357,5.6490309627836e-06,0.000715872467986492,0.000248047955891653,0,0.000703370120844768,0.000383418904883277,0.00086130842619305,0,0.0125106821875475,0.0119919251467337,8.2299623375817e-06,1.02953422394138e-05,0,0.01149822187341,0.00467586103606857,0.00293633340218058,0.00177410588622245,0.00290855281806781,1.07843888681931e-05,0.0023919668530994,0.00640085480832585,0.00135354147229901,0.00443215024748743,0.00279621559029139,0.00150463420652048,0.00185227679483523
19,P00358,16.0000588010467,35.846,0.00211667093225849,0.000952288246215688,0.00139258953963185,0.00119868460125796,0.00161536904768117,0.00151432178855513,0.0022537322826064,0.0019159264336387,0.00118827118378221,0.00186872948099503,0.00112545108855933,0.00136802926529973,0.00184951664261643,0.00203540598563724,0.00211946055313122,0.000524931979145109,0.00189005009728423,0.00071008405019251,0.00052735616537893,0.00272373457531153,0.0005739629298294,0.00200015292477592,0.000703140531633639,0.00144624779191717,0.00183538472711655,0.00138096361572994,0.00149187087023866,0.00203791456805126,0.00145746334113766,0.000717280898096514,0.00330977249621733,0.00302296031025305,0.00281536533040529,0.00447468557127258,0.00564148731009995,0.00252858597334666,0.00257052178552847,0.00196586172177804,0.0037730352542935,0.00429956752313551,0.0042832751006855,0.0036269912732364
