Orthogroup	DMKU3.1042	W29	s288c
OG0000561	W0T9X4	A0A1D8NGA1	P53104
OG0000562	W0TD11	A0A1D8NE81	Q02948
OG0000563	W0TIW1	A0A1D8NMK7	Q12142
OG0000564	W0TA05	A0A1D8NBY3	P38862
OG0000565	W0TA43	A0A1H6PME1	Q06628
OG0000566	W0TI37	A0A1D8NA19	Q06598
OG0000567	W0T2P8	A0A1D8NM01	P32835
OG0000568	W0TGF0	A0A1H6PYI1	P61830
OG0000570	W0T6T9	A0A1D8NIJ8	P0CY11
OG0000571	W0T4V8	A0A1D8NJW0	Q12380
OG0000572	W0TCD0	A0A1D8NHL4	P53855
OG0000573	W0TGM7	A0A1D8N4P0	P53867
OG0000574	W0T3R8	A0A1H6Q0W2	Q06410
OG0000575	W0TEF9	A0A1D8NJU9	P40344
OG0000576	W0TFN1	A0A1D8N6H3	Q12527
OG0000577	W0T4C1	A0A1D8NQG3	P38316
OG0000578	W0T5P4	A0A1D8NQC5	P43601
OG0000580	W0TBJ5	A0A1D8NPT2	P02992
OG0000581	W0T848	A0A1D8N6E6	P40533
OG0000582	W0TAT2	A0A1D8NFL4	P39006
OG0000583	W0TI08	A0A1D8NJ41	P46678
OG0000584	W0T8C7	A0A1D8NLR0	P32581
OG0000585	W0T4K8	A0A1D8NEP0	P32451
OG0000586	W0TA64	A0A1D8NE67	P57744
OG0000587	W0TC73	A0A1H6PQH8	P34162
OG0000588	W0T9W7	A0A1H6PYY8	P52491
OG0000589	W0TI16	A0A1D8NPK5	P40487
OG0000590	W0TDN4	Q8WZL2	P47002
OG0000591	W0TF76	A0A1D8NI31	P08539
OG0000592	W0T6U1	A0A1H6PWR2	P47088
OG0000593	W0TEC2	A0A1D8NIQ5	P13574
OG0000594	W0TFC6	A0A1D8N733	Q99385
OG0000595	W0T5I6	A0A1D8N9Z6	P32449
OG0000596	W0TBN6	A0A1H6QBS2	P53290
OG0000597	W0TDB3	A0A1H6PP97	P53010
OG0000598	W0TI13	A0A1D8NC91	Q12196
OG0000599	W0T9K4	A0A1H6Q854	Q07979
OG0000600	W0TAV5	A0A1H6PSC1	P19524
OG0000601	W0TAN6	A0A1D8N9V7	P14682
OG0000602	W0THH3	A0A1D8NG10	P06786
OG0000603	W0T733	A0A1D8NIK3	P32908
OG0000604	W0T5R7	A0A1H6PHY7	P38129
OG0000605	W0TF05	A0A1D8NI72	P00445
OG0000606	W0T4P8	A0A1H6PXU8	P41912
OG0000607	W0T6P7	A0A1H6Q635	Q12146
OG0000608	W0THK8	A0A1D8NB34	Q12463
OG0000609	W0TIF1	A0A1H6PQX1	P18496
OG0000610	W0TAF6	A0A1D8N7M8	P38836
OG0000611	W0TI22	A0A1D8NMB8	Q07878
OG0000612	W0TDA9	A0A1D8NI87	P18480
OG0000613	W0T673	A0A1D8NGX1	P00890
OG0000614	W0T7S2	A0A1D8NCU4	P48353
OG0000615	W0TD35	A0A1D8N6E8	P38148
OG0000616	W0TEF5	A0A1D8NI11	P40518
OG0000618	W0TEC5	A0A1D8NK33	P23291
OG0000619	W0TB29	A0A1H6PXS0	P32351
OG0000620	W0T9A0	A0A1H6PWA8	P53077
OG0000621	W0TB25	A0A1H6Q2F3	Q3E833
OG0000622	W0T4T7	A0A1H6Q240	P41930
OG0000623	W0T2T3	A0A1H6Q2N8	Q92328
OG0000624	W0T842	A0A1H6Q2A9	P38842
OG0000625	W0T737	A0A1D8N3L6	P53732
OG0000626	W0TDB9	A0A1D8N7F0	Q00776
OG0000627	W0T364	A0A1D8NA20	Q08490
OG0000628	W0TDM4	A0A1D8NNY0	P32388
OG0000629	W0TEM5	A0A1D8NQJ6	Q05788
OG0000630	W0TEQ9	A0A1D8NNC8	P35688
OG0000631	W0TI96	A0A1D8NAY0	P39727
OG0000632	W0TC39	A0A1D8NC12	Q12200
OG0000633	W0TDW1	A0A1D8N5L3	P38795
OG0000634	W0TAU5	A0A1D8NAW6	P22023
OG0000635	W0T6J2	A0A1D8NF48	P40015
OG0000636	W0TGE6	A0A1D8NC95	P38716
OG0000638	W0T8M8	A0A1D8N3G6	Q02872
OG0000639	W0TAP2	A0A1H6Q182	P28707
OG0000640	W0T7A0	A0A1H6PHM3	P53136
OG0000641	W0TA62	A0A1D8NC10	P13517
OG0000642	W0T427	A0A1D8NPH9	P39986
OG0000643	W0T517	A0A1D8NJC6	P53090
OG0000644	W0TCR2	A0A1D8NKJ1	P32767
OG0000645	W0T801	A0A1D8NPC8	P36052
OG0000646	W0TC99	A0A1H6PQY2	P40009
OG0000647	W0T5J4	A0A1D8NL60	P38692
OG0000648	W0TEM3	A0A1H6PVJ8	P32464
OG0000649	W0TEC6	A0A1D8NGV1	P38719
OG0000650	W0T5Z1	A0A1D8NNM0	P35127
OG0000651	W0T903	A0A1D8NNZ9	Q12186
OG0000652	W0TGI2	A0A1D8NCE2	P53688
OG0000653	W0TBN0	A0A1D8NBP7	Q03455
OG0000654	W0TF41	A0A1D8NG83	P38913
OG0000655	W0T8Y3	A0A1D8NEP9	Q06651
OG0000656	W0TAD6	A0A1D8NHT1	Q02606
OG0000657	W0T722	A0A1H6PNY8	P36000
OG0000658	W0TG78	A0A1D8NPA2	P32939
OG0000659	W0T913	A0A1D8NHB9	P05374
OG0000660	W0TCC0	A0A1D8N5M5	Q12091
OG0000661	W0TAH4	A0A1D8NLF0	P53741
OG0000662	W0T6B2	A0A1H6Q3S7	P38930
OG0000663	W0T6G0	A0A1D8NBJ4	Q02100
OG0000664	W0T3Y1	A0A1D8NJY3	P53617
OG0000665	W0T700	A0A1H6Q7G0	P36070
OG0000666	W0TD99	A0A1D8NAR9	P46969
OG0000667	W0TED3	A0A1D8ND24	P38110
OG0000668	W0TCQ8	A0A1H6Q0P8	Q08826
OG0000669	W0T9A7	A0A1D8NNX0	P43616
OG0000670	W0T7F9	A0A1D8NLY3	P43609
OG0000671	W0TA77	A0A1D8NKF1	Q05567
OG0000672	W0T6F4	A0A1H6PSG8	P40030
OG0000673	W0T423	A0A1H6Q9V3	P32626
OG0000674	W0THU3	A0A1D8N8Z7	P32608
OG0000675	W0T7V0	A0A1D8NDA7	P46957
OG0000676	W0T858	A0A1H6Q4J3	P38523
OG0000677	W0TDU3	A0A1D8NLG5	P04819
OG0000678	W0TH96	A0A1D8NC72	P38197
OG0000679	W0T7K3	A0A1D8NDF0	P28241
OG0000680	W0TBA5	A0A1D8NGJ4	P36108
OG0000681	W0T2T7	A0A1D8NGD2	P32562
OG0000682	W0T2C3	A0A1H6PP85	P53838
OG0000683	W0T2T8	A0A1D8NQ71	P17065
OG0000685	W0TE34	A0A1D8NNA1	P53600
OG0000686	W0TDC5	A0A1D8NKL1	P53154
OG0000688	W0TCD1	A0A1D8NLX2	Q08601
OG0000689	W0TC12	A0A1D8NL67	P53166
OG0000690	W0TE45	A0A1D8NQF4	P47016
OG0000691	W0TEB9	A0A1D8NJ20	P20048
OG0000692	W0T9K6	A0A1D8N4N2	P34160
OG0000693	W0T6H0	A0A1D8N6D9	P53894
OG0000694	W0TD69	A0A1H6PPA5	P54885
OG0000695	W0THA7	A0A1D8NG53	P38962
OG0000696	W0T8J9	A0A1D8NJL4	P32584
OG0000697	W0TEC9	A0A1D8NKN2	P38061
OG0000698	W0TFA0	A0A1H6Q8J3	P25382
OG0000699	W0T9D6	A0A1H6PVY0	Q12676
OG0000700	W0TF20	A0A1D8NJS8	P47147
OG0000701	W0TBE2	A0A1D8NCY9	P43606
OG0000702	W0T8E9	A0A1H6PTW1	P47058
OG0000703	W0TDE3	A0A1D8N8U7	P53255
OG0000704	W0TDV0	A0A1H6PMX1	P53921
OG0000705	W0T6W4	A0A1D8NMG6	P27636
OG0000706	W0TES1	A0A1D8NEH9	Q06504
OG0000707	W0TE14	A0A1D8NI76	Q04264
OG0000708	W0T7E4	A0A1D8N3B9	Q08422
OG0000709	W0T664	A0A1D8N682	P14907
OG0000710	W0T3I3	A0A1D8NJT0	P29056
OG0000711	W0THQ9	A0A1D8N6V6	P14922
OG0000712	W0T6S4	A0A1H6Q949	Q03103
OG0000713	W0TCH5	A0A1D8NIM9	P39692
OG0000714	W0TEG2	A0A1D8NHE4	P32794
OG0000715	W0TEG0	A0A1D8NBI0	P28240
OG0000716	W0THA2	A0A1D8NDU1	P35179
OG0000717	W0TB24	A0A1D8NAQ1	P27692
OG0000718	W0T3I6	A0A1D8NI50	P28263
OG0000719	W0TH37	A0A1H6PWQ5	P38042
OG0000720	W0TDK8	A0A1H6PXV6	Q12343
OG0000721	W0TE78	A0A1H6PNI4	P38989
OG0000722	W0TAC1	A0A1H6Q2X0	P54000
OG0000723	W0TDJ8	A0A1D8NQC6	P32569
OG0000724	W0T6L1	A0A1H6PUW3	P53044
OG0000725	W0TA84	A0A1D8N7N0	Q06685
OG0000726	W0TJM1	A0A1D8NGM0	P39985
OG0000727	W0TAM3	A0A1H6PZ46	P40958
OG0000728	W0TBM9	A0A1D8NK83	P03069
OG0000729	W0T6V2	A0A1D8NNB1	P08964
OG0000730	W0TB46	A0A1D8NQA2	P53742
OG0000731	W0TDB0	A0A1D8NPW5	P22804
OG0000732	W0T7D0	A0A1D8NMZ8	P06783
OG0000734	W0TF53	A0A1D8N3E9	P38339
OG0000735	W0TD40	A0A1D8NBZ8	P40363
OG0000736	W0T7I7	A0A1H6Q2F9	P26364
OG0000737	W0T4A3	A0A1H6PYP6	P00128
OG0000738	W0TC43	A0A1H6Q3V3	Q02608
OG0000740	W0TH56	A0A1H6PTU7	P27351
OG0000741	W0TA47	A0A1H6Q0B5	P32349
OG0000742	W0TA35	A0A1H6Q5F6	P46951
OG0000743	W0T4Q1	A0A1H6Q0H7	P36164
OG0000744	W0T9L6	A0A1D8NBF2	P39929
OG0000745	W0TAJ7	A0A1D8NDZ2	P20447
OG0000746	W0T8J2	A0A1D8NLD4	Q03497
OG0000748	W0TEJ8	A0A1H6PS89	P38880
OG0000750	W0TD46	A0A1H6Q1C5	P38071
OG0000752	W0TCJ6	A0A1D8N977	P50086
OG0000753	W0TJB7	A0A1D8N3P5	Q12408
OG0000754	W0T467	A0A1H6PML7	P38217
OG0000755	W0TGD3	A0A1D8NAV6	P17119
OG0000756	W0T2M1	A0A1D8NLK1	P27637
OG0000757	W0TG65	A0A1D8N3D7	P39984
OG0000758	W0TBH8	A0A1D8NK87	Q05892
OG0000759	W0TA06	A0A1D8NNG4	P38283
OG0000760	W0TKE7	A0A1D8NJ36	Q12350
OG0000761	W0T472	A0A1D8N3T4	Q99190
OG0000762	W0TBV3	A0A1D8NMJ7	P07257
OG0000763	W0TIE6	A0A1D8NGN1	P02557
OG0000764	W0TEV4	A0A1H6PRL9	P38255
OG0000765	W0T523	A0A1D8N542	P22137
OG0000766	W0T3H3	A0A1D8ND67	P38860
OG0000767	W0TFP7	A0A1D8N8H7	Q03649
OG0000768	W0T7A2	A0A1D8NBG7	P14680
OG0000769	W0T6D3	A0A1D8NCT2	P53275
OG0000770	W0T783	A0A1D8N5M1	P53314
OG0000771	W0T6C8	A0A1D8NKA5	P20133
